status,health,commonname,latitude,longitude
Alive,Fair,London planetree,40.80042359,-73.94787361
Alive,Fair,London planetree,40.80013815,-73.94719642
Alive,Fair,mulberry,40.76483867,-73.99036063
Alive,Fair,Callery pear,40.79866829,-73.97057648
Alive,Fair,Callery pear,40.77090246,-73.9599131
Alive,Fair,Sophora,40.80634619,-73.96778354
Alive,Fair,Japanese zelkova,40.78838816,-73.94327201
Alive,Fair,London planetree,40.71605719,-73.99195197
Alive,Fair,pin oak,40.72897625,-73.97924634
Alive,Fair,ginkgo,40.78475614,-73.9558363
Alive,Fair,shingle oak,40.8717917,-73.9153445
Alive,Fair,Callery pear,40.77035668,-73.98568578
Alive,Fair,Chinese chestnut,40.7131261,-73.98846856
Alive,Fair,weeping willow,40.71064673,-73.98593279
Alive,Fair,pin oak,40.81106551,-73.96171153
Alive,Fair,American elm,40.78811527,-73.94848207
Alive,Fair,littleleaf linden,40.77200726,-73.96006647
Alive,Fair,littleleaf linden,40.76950279,-73.98170418
Alive,Fair,ginkgo,40.77522397,-73.955328
Alive,Fair,English oak,40.78171656,-73.95306211
Alive,Fair,pin oak,40.80279369,-73.96545669
Alive,Fair,pin oak,40.83939878,-73.94173134
Alive,Fair,Sophora,40.72262895,-73.99058037
Alive,Fair,Sophora,40.72414133,-73.98285511
Alive,Fair,Callery pear,40.76515695,-73.96087802
Alive,Fair,Callery pear,40.76527785,-73.96079111
Alive,Fair,Callery pear,40.77328482,-73.94610199
Alive,Fair,Chinese chestnut,40.78272342,-73.9454505
Alive,Fair,Callery pear,40.78807127,-73.9483779
Alive,Fair,Sophora,40.78502767,-73.95085289
Alive,Fair,Callery pear,40.76245536,-73.98665854
Alive,Fair,Callery pear,40.73900443,-73.97784655
Alive,Fair,southern magnolia,40.71381573,-73.9773638
Alive,Fair,'Schubert' chokecherry,40.8037621,-73.93211237
Alive,Fair,honeylocust,40.78266594,-73.97853571
Alive,Fair,London planetree,40.78499669,-73.97261197
Alive,Fair,Callery pear,40.77316961,-73.94618605
Alive,Fair,Callery pear,40.77003122,-73.96054481
Alive,Fair,American elm,40.7847363,-73.97002376
Alive,Fair,American linden,40.72203666,-74.00053654
Alive,Fair,honeylocust,40.77762123,-73.97876211
Alive,Fair,littleleaf linden,40.79877541,-73.97156027
Alive,Fair,littleleaf linden,40.73663365,-73.97771678
Alive,Fair,black locust,40.80852122,-73.96329637
Alive,Fair,London planetree,40.78287801,-73.97403997
Alive,Fair,London planetree,40.73315593,-73.97573348
Alive,Fair,London planetree,40.79002747,-73.96944578
Alive,Fair,London planetree,40.73320114,-73.97584039
Alive,Fair,ginkgo,40.73529787,-74.00518225
Alive,Fair,crab apple,40.78530313,-73.97890135
Alive,Fair,honeylocust,40.7449453,-73.98617143
Alive,Fair,honeylocust,40.77016883,-73.951187
Alive,Fair,green ash,40.80838469,-73.96633015
Alive,Fair,ginkgo,40.7283556,-73.97873074
Alive,Fair,honeylocust,40.78384578,-73.95810814
Alive,Fair,ginkgo,40.77525119,-73.95539277
Alive,Fair,ginkgo,40.74664744,-73.98445741
Alive,Fair,American linden,40.80077159,-73.94869927
Alive,Fair,crab apple,40.78564548,-73.97864076
Alive,Fair,ginkgo,40.79360258,-73.97453751
Alive,Fair,Siberian elm,40.83505138,-73.93833482
Alive,Fair,black walnut,40.86332117,-73.92640361
Alive,Fair,honeylocust,40.76210506,-73.98942589
Alive,Fair,Japanese zelkova,40.78842606,-73.94336163
Alive,Fair,crab apple,40.78562337,-73.97869722
Alive,Fair,honeylocust,40.73952503,-73.97909397
Alive,Fair,American linden,40.73889317,-73.98111968
Alive,Fair,northern red oak,40.83960415,-73.94212566
