status,health,commonname,latitude,longitude
Alive,Poor,crab apple,40.81160396,-73.96125695
Alive,Poor,ginkgo,40.71980537,-73.98295807
Alive,Poor,American linden,40.74787405,-73.98131727
Alive,Poor,crab apple,40.80982869,-73.96260947
Alive,Poor,London planetree,40.71219259,-73.98023003
Alive,Poor,ginkgo,40.77440841,-73.96182199
Alive,Poor,American linden,40.79520972,-73.97507535
Alive,Poor,ginkgo,40.79512553,-73.97487495
Alive,Poor,American elm,40.86280309,-73.92672245
Alive,Poor,ginkgo,40.77271205,-73.95949115
Alive,Poor,ginkgo,40.80740466,-73.96411003
Alive,Poor,Amur maple,40.75565417,-73.9821674
Alive,Poor,Amur maple,40.75569709,-73.98227023
Alive,Poor,maple,40.71494971,-73.97796102
Alive,Poor,maple,40.7150409,-73.97826196
Alive,Poor,common hackberry,40.86397108,-73.92747966
Alive,Poor,boxelder,40.75931233,-73.96202757
Alive,Poor,Callery pear,40.75152016,-73.99167979
Alive,Poor,Callery pear,40.73775875,-73.97774366
Alive,Poor,Callery pear,40.78438962,-73.95525027
Alive,Poor,Japanese zelkova,40.79547348,-73.97399044
Alive,Poor,Callery pear,40.74816347,-73.9817143
Alive,Poor,ginkgo,40.80698685,-73.96441449
Alive,Poor,Callery pear,40.74797035,-73.98125302
Alive,Poor,sweetgum,40.73643237,-73.97723965
Alive,Poor,sweetgum,40.80721344,-73.96706368
Alive,Poor,Callery pear,40.74159655,-73.98097281
Alive,Poor,Sophora,40.79896151,-73.96319752
Alive,Poor,maple,40.75564083,-73.98213544
Alive,Poor,dawn redwood,40.77815691,-73.97858845
Alive,Poor,ginkgo,40.78880036,-73.97966914
Alive,Poor,common hackberry,40.80433701,-73.96105405
Alive,Poor,maple,40.75568415,-73.98223923
Alive,Poor,common hackberry,40.80478525,-73.96211389
Alive,Poor,Japanese zelkova,40.73630757,-73.97879971
Alive,Poor,shingle oak,40.71799014,-73.97629094
Alive,Poor,London planetree,40.78873731,-73.94658243
Alive,Poor,littleleaf linden,40.77205777,-73.94672685
Alive,Poor,littleleaf linden,40.7446027,-73.97767577
Alive,Poor,green ash,40.73999167,-73.97920879
Alive,Poor,hawthorn,40.80926578,-73.94440267
Alive,Poor,London planetree,40.71402305,-73.99286178
Alive,Poor,ginkgo,40.75049786,-73.97448326
Alive,Poor,purple-leaf plum,40.81132191,-73.96142059
Alive,Poor,honeylocust,40.74359421,-73.97332408
Alive,Poor,American linden,40.79428066,-73.973146
Alive,Poor,crab apple,40.7935045,-73.97263482
Alive,Poor,ginkgo,40.77527988,-73.95546103
Alive,Poor,American linden,40.79040262,-73.9795074
Alive,Poor,American linden,40.79045449,-73.97963061
Alive,Poor,ginkgo,40.7887644,-73.97958389
Alive,Poor,ginkgo,40.80340748,-73.95322026
Alive,Poor,American linden,40.76679286,-73.96259434
Alive,Poor,London planetree,40.80357125,-73.95797804
Alive,Poor,American hophornbeam,40.74422928,-73.97678598
Alive,Poor,magnolia,40.70695476,-74.01646687
Alive,Poor,common hackberry,40.86243059,-73.92648313
Alive,Poor,ginkgo,40.75854346,-73.9599337
Alive,Poor,American linden,40.79426086,-73.97379381
Alive,Poor,honeylocust,40.79604574,-73.97315881
Alive,Poor,Callery pear,40.74324699,-73.97419543
Alive,Poor,Callery pear,40.78418113,-73.95475576
Alive,Poor,Callery pear,40.77340223,-73.94707947
Alive,Poor,Callery pear,40.78998022,-73.97630895
Alive,Poor,Callery pear,40.72050559,-73.98438793
Alive,Poor,Callery pear,40.74365048,-73.97375532
Alive,Poor,Callery pear,40.77591525,-73.95022565
Alive,Poor,London planetree,40.7943426,-73.96880049
Alive,Poor,Callery pear,40.7758431,-73.95027782
Alive,Poor,London planetree,40.78157047,-73.97218422
Alive,Poor,Callery pear,40.74604484,-73.97699901
Alive,Poor,London planetree,40.76658736,-73.95926003
Alive,Poor,London planetree,40.76619111,-73.95831973
Alive,Poor,London planetree,40.76611473,-73.9581385
Alive,Poor,littleleaf linden,40.78597891,-73.97240567
Alive,Poor,littleleaf linden,40.77403205,-73.95762429
Alive,Poor,ginkgo,40.77111476,-73.95049716
Alive,Poor,London planetree,40.76634652,-73.95868853
Alive,Poor,London planetree,40.76627174,-73.95851108
Alive,Poor,Callery pear,40.78993921,-73.97621251
Alive,Poor,London planetree,40.76614773,-73.9582168
Alive,Poor,Callery pear,40.72879732,-73.98829987
Alive,Poor,Callery pear,40.7433133,-73.97435258
Alive,Poor,honeylocust,40.78026384,-73.97523576
Alive,Poor,Norway maple,40.76228356,-73.96324391
Alive,Poor,silver maple,40.77253979,-73.95908259
Alive,Poor,Callery pear,40.74337793,-73.9739537
Alive,Poor,eastern redcedar,40.78307381,-73.94434639
Alive,Poor,littleleaf linden,40.79034486,-73.97548072
Alive,Poor,littleleaf linden,40.76635525,-73.96000922
Alive,Poor,littleleaf linden,40.78346361,-73.97093448
Alive,Poor,white ash,40.80805502,-73.9666772
Alive,Poor,London planetree,40.80859518,-73.96347342
Alive,Poor,London planetree,40.74268323,-73.9744575
Alive,Poor,American linden,40.78036184,-73.97546898
Alive,Poor,ginkgo,40.74633723,-73.974891
Alive,Poor,American linden,40.74337819,-73.97491661
Alive,Poor,American linden,40.74342322,-73.97502325
Alive,Poor,ginkgo,40.76519528,-73.95984471
Alive,Poor,crab apple,40.81006981,-73.96243463
Alive,Poor,pin oak,40.71862251,-74.00511182
Alive,Poor,ginkgo,40.76508063,-73.95957333
Alive,Poor,ginkgo,40.78247479,-73.95847992
Alive,Poor,Callery pear,40.76736607,-73.96217523
Alive,Poor,Callery pear,40.76692853,-73.98531944
