tree_id,latitude,longitude
200471,40.75757044,-73.98285452
195995,40.74486653,-73.98598251
200363,40.75689625,-73.98317757
200364,40.75685573,-73.98308165
196005,40.74452808,-73.9854111
182258,40.74704876,-73.99280743
200469,40.75765083,-73.98304478
200371,40.75715997,-73.98223654
195980,40.74546931,-73.98520182
200493,40.75771037,-73.98288762
196051,40.74668429,-73.98454526
192379,40.7515513,-73.99175365
182261,40.74638074,-73.99121011
182330,40.74571646,-73.99089075
195996,40.74491073,-73.98608852
200470,40.75761084,-73.98295012
200492,40.75760112,-73.98262967
200494,40.75775098,-73.98298348
192381,40.75145682,-73.99152953
182259,40.74700749,-73.99270876
175335,40.74820468,-73.98622761
195997,40.7449453,-73.98617143
196050,40.74664744,-73.98445741
192330,40.74796711,-73.99525205
182370,40.7467481,-73.99590873
196001,40.74440625,-73.98650552
182495,40.74771026,-73.9962801
196002,40.74437203,-73.98642441
171693,40.75855665,-73.98683191
192356,40.7541827,-73.98702476
195984,40.74487554,-73.98516089
171678,40.76007284,-73.98755607
171695,40.75843874,-73.98655303
147349,40.74869764,-73.99479007
182327,40.74516307,-73.99129258
175507,40.76271561,-73.97402582
198999,40.7554199,-73.9813327
198743,40.755602,-73.98204242
199000,40.7553645,-73.98120058
175343,40.74736422,-73.98423968
199001,40.75566058,-73.98384172
217185,40.74809588,-73.98184469
195982,40.74509088,-73.98500323
195983,40.74494604,-73.98510927
182345,40.7473275,-73.99685535
200368,40.7569752,-73.98237146
171692,40.75896081,-73.98778779
182419,40.74681288,-73.99443028
147348,40.74871462,-73.9948305
171758,40.75761808,-73.98848532
182295,40.74612409,-73.99279516
198742,40.75555616,-73.98193263
217182,40.74801166,-73.98164446
217179,40.74787405,-73.98131727
217188,40.74828384,-73.98229159
217186,40.74820162,-73.98209609
217180,40.74793874,-73.98147107
217187,40.74824027,-73.982188
192337,40.74820604,-73.99582479
171760,40.7576949,-73.98866786
198745,40.75565417,-73.9821674
198747,40.75569709,-73.98227023
192380,40.75152016,-73.99167979
217184,40.74806958,-73.98178216
217183,40.74803943,-73.98171047
200361,40.75697569,-73.98336563
182311,40.74521062,-73.99225796
171694,40.75852117,-73.98674799
199002,40.75574093,-73.98403201
182310,40.74528363,-73.99243169
198744,40.75564083,-73.98213544
195985,40.7448036,-73.98521356
195981,40.74515036,-73.98495969
171759,40.7576533,-73.98856901
198746,40.75568415,-73.98223923
192473,40.75152816,-73.99212638
164398,40.74702761,-73.9850641
196004,40.74430467,-73.98626471
200340,40.75629704,-73.98341113
196003,40.74433822,-73.98634425
182372,40.74695093,-73.99638851
182371,40.74692386,-73.99632448
175344,40.74733424,-73.98416827
182309,40.74549629,-73.99293772
164400,40.74711618,-73.98527313
217181,40.74798031,-73.98156992
215772,40.74749264,-73.98212011
171668,40.76085748,-73.9867639
217178,40.74781387,-73.9811742
171669,40.76080116,-73.98663037
245657,40.76237462,-73.97064543
245659,40.76242491,-73.97076395
245658,40.76240137,-73.97070847
245656,40.76235188,-73.97059184
245636,40.76225085,-73.97051455
